speech_id	line_id	sentence_id	sentence_text	anger_score
S034	0	0	As we know this, recovery will take time and we will stand with Georgia, and everyone across the southeast who are impacted by these recent storms for as long as it takes to rebuild.	0.655883252620697
S034	0	1	Thank you.	0.6735612154006958
S034	0	2	All right, so Atlanta, we have 17 days left.	0.6719864010810852
S034	0	3	17 days left in one of the most consequential elections of our lifetime.	0.6746346354484558
S034	0	4	And look, let’s have some real talk.	0.6500264406204224
S034	0	5	It’s going to be a tight race until the very end.	0.6172035336494446
S034	0	6	And we are the underdog and we are running as the underdog.	0.6803887486457825
S034	0	7	But make no mistake, we will win.	0.6768637895584106
S034	0	8	We will win.	0.6583869457244873
S034	0	9	Yes, we will.	0.6673502922058105
S034	0	10	We will win.	0.6583869457244873
S034	0	11	Yes, we will,	0.665241003036499
S034	1	0	But none of that is what we hear from Donald Trump.	0.6724655628204346
S034	1	1	Instead, it is just the same old, tired playbook over and over again.	0.7025808691978455
S034	1	2	He has no plan for how he would address the needs of the American people.	0.6542917490005493
S034	1	3	He is only focused on himself.	0.6830731630325317
S034	1	4	And now, he’s ducking debates and canceling interviews because of exhaustion.	0.6977565884590149
S034	1	5	And when he does answer a question or speak at a rally, have you noticed he tends to go off script and ramble, and generally for the life of him, cannot finish a thought.	0.7005828619003296
S034	1	6	And he has called it the weave, but I think we here will call it nonsense.	0.6909564733505249
S034	2	0	So folks, for these reasons and more, it is time to turn the page.	0.6824425458908081
S034	2	1	It’s time to turn the page.	0.6638776659965515
S034	2	2	And America is ready to chart a new way forward.	0.6707298755645752
S034	2	3	We are ready.	0.6480286717414856
S034	2	4	We are ready for a new and optimistic generation of leadership.	0.6697184443473816
S034	2	5	All of you.	0.6590880155563354
S034	2	6	Which is why Democrats, Republicans, and Independents are supporting our campaign.	0.6676799058914185
S034	2	7	In fact, earlier this week, over 100 Republican leaders from across the country joined me on the campaign trail, including some who worked in Donald Trump’s administration.	0.6841824054718018
S034	2	8	And I believe as I travel our country, Americans really want a President who works for all the American people, all the American people, who understands that the vast majority of us have so much more in common than what separates us, right?	0.6844643950462341
S034	2	9	Folks are exhausted with someone trying to have Americans point their fingers at each other.	0.7161515951156616
S034	2	10	We’re exhausted with it.	0.6731823682785034
S034	2	11	That’s why I say it’s time to turn the page on that, let’s turn the page, and have a President who cares about all the people.	0.6739216446876526
S034	3	0	And you all know I’ve only ever in my career had one client, the people, the people.	0.6797060966491699
S034	3	1	As a young courtroom prosecutor, I stood up for women and children.	0.6785008311271667
S034	3	2	As Attorney general of California, I fought for students and veterans.	0.6709976196289062
S034	3	3	As Vice President, I have stood up for workers and seniors.	0.6790130138397217
S034	3	4	And as President, I will fight for all the American people.	0.6748594045639038
