speech_id	line_id	sentence_id	sentence_text	anger_score
S015	0	0	Good afternoon.	0.6717380285263062
S015	0	1	Good afternoon, Pennsylvania.	0.6870706677436829
S015	0	2	Good afternoon, everyone.	0.6711682081222534
S015	0	3	Good afternoon.	0.6717380285263062
S015	0	4	Bob and Christina, thank you so very much for that introduction and for your friendship.	0.6902643442153931
S015	0	5	And as I’ve said to all the friends and leaders on the stage with me, we had a chance to speak ahead of time, I thank you all for everything that you are doing and the courage you are showing.	0.6869953870773315
S015	1	0	This is an extraordinary climate right now and I think we all recognize the courage that you are each showing to speak out so publicly and to put as we are saying, because we truly believe at country over parity.	0.6725315451622009
S015	1	1	So thank you all.	0.6929308176040649
S015	1	2	Can we please applaud Bob and Christina and all of the folks on the stage, please?	0.673645555973053
S015	1	3	Thank you.	0.6735612154006958
S015	1	4	Thank you.	0.6735612154006958
S015	1	5	Truly, truly, thank you.	0.6949965357780457
S015	2	0	So if you all have a seat, please do sit.	0.6664251685142517
S015	2	1	Yes.	0.6270259618759155
S015	2	2	So I think everyone here knows we meet in a place that holds a very special meaning for our country.	0.673416793346405
S015	2	3	Here on Christmas Night, 1776, General George Washington and over 2,000 troops crossed the icy Delaware river in darkness, then marched to Trenton where they surprised an outpost of enemy soldiers and achieved a major victory in the American Revolution.	0.6897525787353516
S015	3	0	And after we won the war and achieved our independence, delegates from across the nation gathered not far from here in Philadelphia, to write and to sign the constitution of the United States.	0.6804693341255188
S015	3	1	And we remember and reflect on what that moment was, knowing that leading up to that, that work, to write, to compose the constitution of the United States, that work was not easy.	0.6802135109901428
S015	4	0	The founders often disagreed, often quite passionately.	0.6763547658920288
S015	4	1	But in the end, the constitution of the United States laid out the foundations of our democracy, including the rule of law that there would be checks and balances, that we would have free and fair elections, and a peaceful transfer of power.	0.6635177135467529
S015	4	2	These principles and traditions have sustained our nation for over two centuries sustained because generations of Americans, from all backgrounds, from all beliefs, have cherished them, upheld them, and defended them.	0.6813953518867493
S015	4	3	And now the baton is in our hands.	0.6751148104667664
S015	5	0	So I am joined today by over 100 Republican leaders from across Pennsylvania and across our country who are supporting my candidacy for president of the United States, and I am deeply honored to have their support.	0.708894670009613
S015	5	1	Some served in state houses, some in the United States Congress, some worked for other Republican presidents and presidential nominees including Mitt Romney, John McCain, George W.	0.6644336581230164
S015	5	2	Bush, George H.W.	0.652194082736969
S015	5	3	Bush, and Ronald Reagan.	0.667506754398346
S015	5	4	Some today served in Donald Trump’s own administration.	0.6633557081222534
S015	6	0	We also have with us republican voters from here in Pennsylvania and beyond who have been active in their Republican parties for years, who have supported Republican candidates up and down the ticket.	0.6777881979942322
S015	6	1	Now, I say all that to make an obvious point.	0.70863938331604
S015	6	2	In a typical election year, you all being here with me, might be a bit surprising, dare I say unusual.	0.6822842955589294
S015	6	3	But not in this election.	0.6583684086799622
S015	6	4	Not in this election.	0.6562217473983765
S015	6	5	Because at stake in this race are the democratic ideals that our founders and generations of Americans before us have fought for.	0.6522275805473328
S015	6	6	At stake in this election is the constitution of the United States, it very itself.	0.6514203548431396
S015	6	7	We are here today because we share a core belief that we must put country before party.	0.671099841594696
S015	7	0	And so we know that sacred oath must always be honored and never violated, and that we should expect anyone who seeks the highest office in our land would meet that standard.	0.6570824980735779
S015	7	1	We here know the Constitution is not a relic from our past, but determines whether we are a country where the people can speak freely and even criticize the president without fear of being thrown in jail or targeted by the military, where the people can worship as they choose without the government interfering, where you can vote without fear that your vote will be thrown away.	0.6746993064880371
S015	7	2	All of this and more depends on whether or not our leaders honor their oath to the constitution.	0.6645740866661072
S015	8	0	I have sworn an oath to uphold the constitution six times, including as vice president, as the United States Senator, and as the top law enforcement officer of the largest state in our country.	0.6704672574996948
S015	8	1	I have never wavered from upholding that oath.	0.672374963760376
S015	9	0	And now Donald Trump is telling us how he intends to use power if he is elected again.	0.676408588886261
S015	9	1	He has stated that one of the biggest threats America faces is “the enemy from within.”	0.6775414943695068
S015	10	0	It is clear Donald Trump is increasingly unstable and unhinged.	0.7143159508705139
S015	11	0	So as I’ve mentioned, many of you know I spent a career as a prosecutor in law enforcement, and I will tell you, I never asked a victim or a witness, “Are you a Republican or are you a Democrat?” I never asked of anyone who needed help.	0.686105489730835
S015	11	1	If anyone who deserved attention, where were they registered and who did they vote for?	0.658074676990509
S015	11	2	The only question I ever asked was, “Are you okay?” And that is the kind of president I pledge to you that I will be.	0.6860186457633972
S015	11	3	That is my pledge to you, because we have too much to do and too much good work to do, to be relegated, to requiring each of us to be in some silo, disconnected from each other.	0.6841162443161011
