speech_id,line_id,sentence_id,sentence_text
S021,0,0,So thank you all.
S021,0,1,"So listen, this election, I do strongly believe is about two very different visions for our nation."
S021,0,2,"One, ours."
S021,0,3,"Focused on the future, and the other focused on the past."
S021,0,4,"We see that contrast clearly in many ways, including when it comes to how we think about the economy."
S021,0,5,So our country has come a long way since President Biden and I took office.
S021,0,6,"At that time, we sadly remembered the millions of Americans that were out of work."
S021,0,7,We were facing one of the worst economic crises in modern history.
S021,0,8,"And today, by virtually every measure, our economy is the strongest in the world."
S021,1,0,We have created 16 million new jobs.
S021,1,1,"We have made historic investments in infrastructure, in chips manufacturing, in clean energy, and new numbers this week alone show that inflation is down under 3%."
S021,1,2,"And as President of the United States, it will be my intention to build on the foundation of this progress."
S021,1,3,"Still, we know that many Americans don’t yet feel that progress in their daily lives."
S021,1,4,"Costs are still too high, and on a deeper level for too many people, no matter how much they work, it feels so hard to just be able to get ahead."
S021,2,0,"As President, I will be laser focused on creating opportunities for the middle class that advance their economic security, stability and dignity."
S021,2,1,"Together, we will build what I call an opportunity economy, an opportunity economy, an economy where everyone can compete and have a real chance to succeed."
S021,2,2,"Everyone, regardless of who they are or where they start, has an opportunity to build wealth for themselves and their children."
S021,2,3,"And where we remove the barriers to opportunity, so anyone who wants to start a business or advance their career can access the tools and the resources that are necessary to do so."
S021,3,0,I will focus on cutting needless bureaucracy and unnecessary regulatory red tape and encouraging innovative technologies while protecting consumers and creating a stable business environment with consistent and transparent rules of the road.
S021,3,1,"As President, I will bring together labor with small businesses and major companies to invest in America, to create good jobs, achieve broad-based growth, and ensure that America continues to define the future and lead the world."
S021,4,0,"And key, key, to creating this opportunity economy is building up our middle class."
S021,4,1,It is essential.
S021,4,2,"The middle class is one of America’s greatest strengths, and to protect it, then, we must defend basic principles, such as your salary should be enough to provide you and your family with a good quality of life, such as no child should have to grow up in poverty, such as after years of hard work, you should be able to retire with dignity, and you should be able to join a union if you choose."
S021,4,3,"Building up the middle class will be a defining goal of my presidency because I strongly believe when the middle class is strong, America is strong."
S021,5,0,"So in the weeks to come, I will address in greater detail my plans to build an opportunity economy, and today, I will focus on one element that’s on the minds of many Americans as they pay their bills at the kitchen table or walk the aisles of a grocery store, and that is lowering the cost of living."
S021,5,1,"So every day across our nation, families talk about their plans for the future, their ambitions, their aspirations for themselves, for their children, and they talk about how they’re going to be able to actually achieve them financially."
S021,5,2,"Because look, the bills add up, food, rent, gas, back-to-school clothes, prescription medication."
S021,5,3,"After all that, for many families, there’s not much left at the end of the month."
S021,6,0,I grew up in a middle-class household.
S021,6,1,"For most of my childhood, we were renters."
S021,6,2,My mother saved for well over a decade to buy a home.
S021,6,3,"I was a teenager when that day finally came, and I can remember so well how excited she was."
S021,6,4,"I kind of understood what it meant, but we called her mommy, mommy was so excited."
S021,6,5,It just made us excited that she was so excited.
S021,6,6,"Later in college, I worked at McDonald’s to earn spending money."
S021,6,7,"Well, some of the people I worked with were raising families on that paycheck."
S021,6,8,They worked second or even third jobs to pay rent and buy food.
S021,6,9,That only gets harder when the cost of living goes up.
S021,7,0,"When I am elected President, I will make it a top priority to bring cost and increase economic security for all Americans."
S021,7,1,"As President, I will take on the high costs that matter most to most Americans, like the cost of food."
S021,7,2,"We all know that prices went up during the pandemic when the supply chains shut down and failed, but our supply chains have now improved and prices are still too high."
S021,7,3,A loaf of bread cost 50% more today than it did before the pandemic.
S021,7,4,Ground beef is up almost 50%.
S021,7,5,"Many of the big food companies are seeing their highest profits in two decades, and while many grocery chains pass along these savings, others still aren’t."
S021,8,0,"Look, I know most businesses are creating jobs, contributing to our economy, and playing by the rules, but some are not, and that’s just not right, and we need to take action when that is the case."
