speech_id,line_id,sentence_id,sentence_text
S033,0,0,"As of today, we have created over 16 million new jobs, over 800,000 new manufacturing jobs."
S033,0,1,We have the lowest Black unemployment rate in generations.
S033,0,2,"We have invested in small businesses and to the benefit of many people, but including Black small businesses, some of the highest rate of creation of new Black small businesses in years."
S033,0,3,We have done the work of capping the cost of prescription medication for our seniors for issues like insulin.
S033,0,4,"And again, I’m speaking to the Black journalists who care about all people, but in particular, I’ll talk about the impact on Black people where we know Black folks are 60 times more likely, 60%, excuse me, more likely to be diagnosed with diabetes."
S033,0,5,"And we have now finally capped the cost of insulin for our seniors at $35 a month, capped the cost of prescription medication for our seniors at $2,000 a year because we, unlike the former president who promised to do it, we finally have allowed Medicare to negotiate drug prices against the big pharmaceutical companies."
S033,1,0,And these are just some of the accomplishments.
S033,1,1,Is the price of groceries still too high?
S033,1,2,Yes.
S033,1,3,Do we have more work to do?
S033,1,4,Yes.
S033,1,5,"And I will tell you, I do believe that I offer a new generation of leadership for our country that is about, in particular turning the page on an era that sadly has shown us attempts by some to incite fear to create division in our country."
S033,1,6,"And to do the work that is about bringing some level of optimism and dare I say, ambition about what I know is possible in our country."
S033,1,7,"And so my plan for the economy includes what I imagine and believe and call an opportunity economy, what we can do to grow an opportunity economy where all people have access to the resources to compete, to apply their incredible work ethic, their ambition, their aspirations, and their dreams."
S033,1,8,"And actually not just get by, but get ahead."
S033,1,9,"And I can talk in more detail about it, but specifically I’ll mention a few things."
S033,2,0,One of the big issues that affects people right now in terms of the economy and their economic well-being is we have a shortage of housing supply.
S033,2,1,It’s too expensive.
S033,2,2,People can’t afford to buy a home.
S033,2,3,"We grew up our parents where they had the ability to somehow believe the American dream was attainable, not so much for younger working people."
S033,2,4,"And I recognize that, so my approach is a new approach, which is to say, let’s just take this and deal with it head on."
S033,2,5,"And part of my approach is to say, I’m going to employ and engage the private sector, in particular home builders with tax credits to give them the incentive to create new housing, three million by the end of my first term."
S033,2,6,"And understanding that not everybody is handed a silver spoon, but works hard and is trying to save up for a down payment."
S033,3,0,"Part of my plan, under my opportunity economy is to give first time home buyers a $25,000 down payment assistance so they can just get their foot in the door to be able to then engage in what will prove to be their opportunity to build intergenerational wealth."
S033,3,1,And here’s my personal experience coming at that.
S033,3,2,I grew up a middle class kid.
S033,3,3,My mother was hardworking.
S033,3,4,"She raised me and my sister, Maya."
S033,3,5,She saved up.
S033,3,6,And it was only by the time I was a teenager that she could afford to actually buy her first home.
S033,3,7,"And I know and I identify with it, I know where I come from."
S033,4,0,"But I want to also get back to the earlier point that you made about extending the child tax credit, so part of my new approach is we need to expand the child tax credit."
S033,4,1,"And so part of my plan that is under an opportunity economy is to extend and expand the child tax credit to $6,000 so that young families in particular for the first year of their child’s life, which is an extraordinarily important time in their development, have the resources to be able to buy a crib, buy a car seat, buy children’s clothing, and not have to worry about whether they’re going to be able to meet their other needs."
S033,4,2,"And I don’t need to remind anybody here, especially these esteemed journalists, but when we expanded the child tax credit a couple of years ago, we reduced Black child poverty by half."
S033,4,3,"And so again, if you talk about the benefit and if you think about the benefit to the economy overall, it strengthens our economy to do things like pay attention to affordable child care, affordable home healthcare, and extending the child tax credit."
S033,5,0,"I appreciate the spirit of the question, but I’ll tell you, I’ve often been asked this question in a way that I’ve had to respond by first saying that"
S033,6,0,"So my work has included as Vice President getting billions more dollars into community banks, including working with the big banks to do that, so that we can increase access to capital for our small businesses, for our startups."
S033,6,1,"Part of my plan under my economic opportunity plan going forward is that right now start up entrepreneurs, small businesses only get a tax deduction of $5,000."
S033,6,2,"Nobody can start a small business with $5,000."
S033,6,3,"So I’m expanding that to $50,000."
S033,6,4,"Understanding again, that when people have the opportunity to have the resources to get started, they’re going to put the good ideas, they’re going to put the hard work into it."
S033,6,5,"And part of what I also know is that our young black men, our black men, just like any group of people, anybody, our small businesses are really the backbone of our economy overall."
S033,6,6,"And when they do better economically, we all do better."
S033,7,0,"Part of my work is about understanding what we need to do in dealing with, for example, the historic inequities that have faced the black community around home-ownership."
S033,7,1,"I don’t have to go through the history with anybody here about what that has meant in terms of redlining, what that has meant in terms of biases and home appraisals, and the impact it has had on stemming the opportunity to build intergenerational wealth because of those obstacles."
S033,7,2,"So part of the work that I have done and will continue to do is identify, speak truth about those obstacles and address them."
S033,7,3,Another example is medical debt.
S033,7,4,One in four black families or individuals is more likely to carry medical debt than others.
S033,7,5,"So part of my perspective, and as Vice President, part of the work that we have done is to say that we’re going to eliminate medical debt from being on your credit score."
S033,8,0,"Because until now, medical debt worked against your credit score, and people know their credit score like you know your weight."
S033,8,1,You know that number.
S033,8,2,"And the difference between what that number is and what it needs to be is the difference between you being able to get a car loan, a small business loan, or even a lease on an apartment."
S033,8,3,"And so part of my approach is understanding the obstacles that traditionally and currently exist to allow anyone, including black men, be able to achieve economic wealth."
S033,8,4,"And I’m going to tell you, I don’t think it is sufficient to just only talk about economic policy around reducing unemployment."
S033,8,5,It is an important marker.
S033,8,6,And I’m proud of the work that we’ve done thus far.
S033,8,7,"But it should be a baseline there, everybody’s working."
S033,8,8,"The point is, do people have an opportunity to build wealth if that’s what they choose to do, if that’s what they want to do."
S033,9,0,And a lot of my perspective as we go forward is just that.
S033,9,1,"I believe that there are a lot of opportunities that are available to the American people if we just see people, and understand what they want for themselves and their families, and then meet them where they are."
S033,10,0,"Well, first of all, as you mentioned, Sheila Jackson Lee, she"
S033,11,0,"But part of what we can do right now is, for example, what I’m talking about in terms of building an opportunity economy."
S033,11,1,Which is addressing explicitly the obstacles that historically and currently exist and dealing with them.
S033,11,2,"Student loan debt, medical debt, bias in home appraisals."
S033,11,3,"What we need to do in terms of dealing with an issue that I have championed for years, black maternal mortality, which is the fact that black women are three to four times more likely to die in connection with childbirth than other women."
S033,11,4,"And we know that the reasons for that include disparities that pre-exist her pregnancy, including disparities that exist in the system during her pregnancy."
S033,11,5,So all of those things must be addressed.
S033,12,0,"As Attorney general of California, fifth-largest economy in the world, I was acutely aware that my words could move markets."
S033,12,1,"When you are bestowed with a microphone that is that big, there is a profound responsibility that comes with that."
S033,12,2,That is an extension of what should not be lost in this moment.
S033,12,3,"This concept of the public trust to then understand what the public trust means, it means that you have been invested with trust to be responsible in the way you use your words, much less how you conduct yourself."
S033,12,4,"And especially when you have been and then seek to be again, President of the United States of America."
S033,13,0,"And so I go back to it’s a crying shame, literally."
S033,13,1,"What’s happening to those families, those children in that community, not to mention what is happening in terms of… Look, you say you care about law enforcement, law enforcement resources, being put into this because of these serious threats that are being issued against a community that is living a productive good life before this happened."
S033,13,2,And spewing lies that are grounded in tropes that are age-old.
S033,13,3,"And look, I said it not very far from here the other day at the debate."
S033,13,4,This is not new.
S033,13,5,This is not new in terms of these tropes.
