speech_id,line_id,sentence_id,sentence_text
S006,0,0,"And I know it takes a lot out of you to share that story, but to do it in a way that is about lifting up other people and helping hopefully others who are not in this room, understanding how real people are impacted every day about this issue and by this issue."
S006,0,1,Thank you.
S006,0,2,"I want to recognize that people of our administration, including Secretary Becerra, who is here, the bold administrator, Brooks-LaSure, who is here, my dear friend and former colleague, Senator Ben Cardin, Representative Barragan, the chair of the Congressional Hispanic Caucus, and Representative Mfume for all of your years of leadership."
S006,0,3,"And I want to recognize your next United States Senator, Angela Alsobrooks."
S006,0,4,She’s here somewhere.
S006,0,5,And I’ve worked with her over the years.
S006,0,6,"I’m telling you, Maryland, you’re going to do a great thing when you send her to the United States Senate."
S006,0,7,"And of course, I could speak all afternoon about the person that I am standing on this stage with, our extraordinary president, Joe Biden."
S006,0,8,"And he’s going to speak in a minute, but there’s a lot of love in this room for our president, and I think it’s for many, many reasons, including few leaders in our nation have done more on so many issues, including to expand access to affordable healthcare than Joe Biden."
S006,0,9,"And today we take the next step, thank you, Joe, forward in our fight."
S006,1,0,"My entire career, I have worked to hold bad actors accountable and lower the cost of prescription drugs."
S006,1,1,"As Attorney General of California, I took on pharmaceutical companies for deceptive marketing and illegally inflating the cost of drugs, and we won billions of dollars."
S006,1,2,"As the United States Senator, I fought to pass laws that would make healthcare more affordable and accessible for all Americans."
S006,1,3,"And as Vice President, together with Joe Biden, our president, we finally addressed the longstanding issue that, for years, was one of the biggest challenges on this subject, which was that Medicare was prohibited by law from negotiating lower drug prices."
S006,1,4,"And those costs then got passed on to our seniors, but not anymore."
S006,2,0,"Two years ago, we gave Medicare the power to negotiate lower prescription drug prices for the first time in history."
S006,2,1,And here is why that matters.
S006,2,2,It is nearly impossible for a patient to negotiate lower prices by themselves.
S006,2,3,Just think about that.
S006,2,4,"Somebody who needs the medication, who may be suffering from a serious illness, that they would buy themselves, be able to negotiate against a big drug company to lower that prices is virtually impossible."
S006,2,5,It’s one person against a huge corporation.
S006,2,6,But Medicare represents more than 65 million people.
S006,2,7,"And so Medicare has collective bargaining power, and now Medicare can use that power to go toe to toe with big pharma and negotiate lower drug prices."
S006,2,8,"Thank you, Joe."
S006,3,0,"And I know it takes a lot out of you to share that story, but to do it in a way that is about lifting up other people and helping hopefully others who are not in this room, understanding how real people are impacted every day about this issue and by this issue."
S006,3,1,Thank you.
S006,3,2,"I want to recognize that people of our administration, including Secretary Becerra, who is here, the bold administrator, Brooks-LaSure, who is here, my dear friend and former colleague, Senator Ben Cardin, Representative Barragan, the chair of the Congressional Hispanic Caucus, and Representative Mfume for all of your years of leadership."
S006,3,3,"And I want to recognize your next United States Senator, Angela Alsobrooks."
S006,3,4,She’s here somewhere.
S006,3,5,And I’ve worked with her over the years.
S006,3,6,"I’m telling you, Maryland, you’re going to do a great thing when you send her to the United States Senate."
S006,3,7,"And of course, I could speak all afternoon about the person that I am standing on this stage with, our extraordinary president, Joe Biden."
S006,3,8,"And he’s going to speak in a minute, but there’s a lot of love in this room for our president, and I think it’s for many, many reasons, including few leaders in our nation have done more on so many issues, including to expand access to affordable healthcare than Joe Biden."
S006,3,9,"And today we take the next step, thank you, Joe, forward in our fight."
S006,4,0,"My entire career, I have worked to hold bad actors accountable and lower the cost of prescription drugs."
S006,4,1,"As Attorney General of California, I took on pharmaceutical companies for deceptive marketing and illegally inflating the cost of drugs, and we won billions of dollars."
S006,4,2,"As the United States Senator, I fought to pass laws that would make healthcare more affordable and accessible for all Americans."
S006,4,3,"And as Vice President, together with Joe Biden, our president, we finally addressed the longstanding issue that, for years, was one of the biggest challenges on this subject, which was that Medicare was prohibited by law from negotiating lower drug prices."
S006,4,4,"And those costs then got passed on to our seniors, but not anymore."
S006,5,0,"Two years ago, we gave Medicare the power to negotiate lower prescription drug prices for the first time in history."
S006,5,1,And here is why that matters.
S006,5,2,It is nearly impossible for a patient to negotiate lower prices by themselves.
S006,5,3,Just think about that.
S006,5,4,"Somebody who needs the medication, who may be suffering from a serious illness, that they would buy themselves, be able to negotiate against a big drug company to lower that prices is virtually impossible."
S006,5,5,It’s one person against a huge corporation.
S006,5,6,But Medicare represents more than 65 million people.
S006,5,7,"And so Medicare has collective bargaining power, and now Medicare can use that power to go toe to toe with big pharma and negotiate lower drug prices."
S006,5,8,"Thank you, Joe."
