speech_id,line_id,sentence_id,sentence_text
S015,0,0,Good afternoon.
S015,0,1,"Good afternoon, Pennsylvania."
S015,0,2,"Good afternoon, everyone."
S015,0,3,Good afternoon.
S015,0,4,"Bob and Christina, thank you so very much for that introduction and for your friendship."
S015,0,5,"And as I’ve said to all the friends and leaders on the stage with me, we had a chance to speak ahead of time, I thank you all for everything that you are doing and the courage you are showing."
S015,1,0,"This is an extraordinary climate right now and I think we all recognize the courage that you are each showing to speak out so publicly and to put as we are saying, because we truly believe at country over parity."
S015,1,1,So thank you all.
S015,1,2,"Can we please applaud Bob and Christina and all of the folks on the stage, please?"
S015,1,3,Thank you.
S015,1,4,Thank you.
S015,1,5,"Truly, truly, thank you."
S015,2,0,"So if you all have a seat, please do sit."
S015,2,1,Yes.
S015,2,2,So I think everyone here knows we meet in a place that holds a very special meaning for our country.
S015,2,3,"Here on Christmas Night, 1776, General George Washington and over 2,000 troops crossed the icy Delaware river in darkness, then marched to Trenton where they surprised an outpost of enemy soldiers and achieved a major victory in the American Revolution."
S015,3,0,"And after we won the war and achieved our independence, delegates from across the nation gathered not far from here in Philadelphia, to write and to sign the constitution of the United States."
S015,3,1,"And we remember and reflect on what that moment was, knowing that leading up to that, that work, to write, to compose the constitution of the United States, that work was not easy."
S015,4,0,"The founders often disagreed, often quite passionately."
S015,4,1,"But in the end, the constitution of the United States laid out the foundations of our democracy, including the rule of law that there would be checks and balances, that we would have free and fair elections, and a peaceful transfer of power."
S015,4,2,"These principles and traditions have sustained our nation for over two centuries sustained because generations of Americans, from all backgrounds, from all beliefs, have cherished them, upheld them, and defended them."
S015,4,3,And now the baton is in our hands.
S015,5,0,"So I am joined today by over 100 Republican leaders from across Pennsylvania and across our country who are supporting my candidacy for president of the United States, and I am deeply honored to have their support."
S015,5,1,"Some served in state houses, some in the United States Congress, some worked for other Republican presidents and presidential nominees including Mitt Romney, John McCain, George W."
S015,5,2,"Bush, George H.W."
S015,5,3,"Bush, and Ronald Reagan."
S015,5,4,Some today served in Donald Trump’s own administration.
S015,6,0,"We also have with us republican voters from here in Pennsylvania and beyond who have been active in their Republican parties for years, who have supported Republican candidates up and down the ticket."
S015,6,1,"Now, I say all that to make an obvious point."
