speech_id,line_id,sentence_id,sentence_text
S028,0,0,"Let me just say, it’s good to be here with all of the friends, all of the leaders who are here."
S028,0,1,"I want to thank former Governor Ed Rendell, Senator Bob Casey, who we will re-elect this November, Senator John Fetterman, Mayor Sherrell Parker, and Chairman Jamie Harrison."
S028,0,2,"It is so good to be here with your incredible governor, Josh Shapiro."
S028,0,3,"I’ll say Josh is a dear, dear friend, and an extraordinary leader."
S028,0,4,"He and I have been spending a lot of time together over the years, and I told Josh, look, I am so, so invested in our friendship in doing this together because together with Josh Shapiro, we will win Pennsylvania."
S028,0,5,We’ll win Pennsylvania.
S028,0,6,"I thank you, Josh."
S028,0,7,I thank you.
S028,1,0,"Philadelphia, I launched my campaign for the President of the United States a mere two weeks ago, and it’s been a bit of a whirlwind."
S028,1,1,"Just last night, the delegates to the Democratic National Convention finished voting, and so I stand before you today to proudly announce I am now officially the Democratic nominee for President of the United States."
S028,1,2,Now we got some work to do.
S028,1,3,We need to move to the general election and win that.
S028,1,4,"To all the friends, listen, we also need to level set."
S028,1,5,"We are the underdogs in this race, but we have the momentum and I know exactly what we are up against."
S028,2,0,"Now, many of you know, before I was elected vice president or elected a United States Senator, I was an elected attorney general and before that, elected district attorney."
S028,2,1,"Before that, I was a courtroom prosecutor."
S028,2,2,"In those roles, I took on perpetrators of all kinds."
S028,2,3,"Predators who abused women, fraudsters who scammed consumers, cheaters who broke the rules for their own gain, so hear me when I say I know Donald Trump’s type."
S028,3,0,"Wait, let me just say… Let me say, hold on, hold on, hold on."
S028,3,1,"This campaign, our campaign, is not just a fight against Donald Trump."
S028,3,2,"Our campaign, this campaign, is a fight for the future."
S028,3,3,It’s a fight for the future.
S028,3,4,"Pennsylvania, we fight for a future with affordable housing, affordable healthcare, affordable childcare, paid leave."
S028,3,5,"We fight for a future where we build a broad-based economy where every American has the opportunity to own a home, to start a business, and to build wealth."
S028,4,0,"We fight for a future where we bring down prices that are still too high and lower the cost of living for America’s families so that they have a chance not just to get by, but to get ahead."
S028,4,1,We fight for a future where we defend our most fundamental freedoms.
S028,4,2,"The freedom to vote, the freedom to be safe from gun violence, the freedom to love who you love openly and with pride, and the freedom of a woman to make decisions about her own body, not having her government tell her what to do."
S028,4,3,I love you too.
S028,5,0,Here’s the thing.
S028,5,1,"Since the day that I announced my candidacy, I’ve set out to find a partner who can help build this brighter future."
S028,5,2,A leader who will help unite our nation and move us forward.
S028,5,3,"A fighter for the middle class, a patriot who believes, as I do, in the extraordinary promise of America."
S028,5,4,"A promise of freedom, opportunity, and justice not just for some, but for all."
S028,6,0,"Pennsylvania, I’m here today because I found such a leader."
S028,6,1,Governor Tim Walz of the great state of Minnesota.
S028,6,2,"To those who know him best, Tim is more than a governor."
S028,6,3,"To his wife, Gwen, he is a husband."
S028,6,4,"To his kids, Hope and Gus, he is a dad."
S028,6,5,"To his fellow veterans, he is Sergeant Major Walz."
S028,6,6,"To the people of Southern Minnesota, for 12 years, he was Congressman."
S028,6,7,"To his former high school students, he was Mr."
S028,6,8,"Walz, and to his former high school football players, he was Coach."
S028,6,9,Coach.
S028,6,10,Coach.
S028,6,11,"In 91 days, the nation will know Coach Walz by another name, Vice President of the United States."
S028,6,12,"America, for some folks, they’re just getting to know Coach Walz’s story."
S028,6,13,"I’ll tell you, he is the proud product of a middle class family in rural Nebraska."
S028,6,14,"He is a veteran who served our nation in uniform for more than two decades as a member of the Army National Guard, and he went to college on the GI Bill."
S028,6,15,"He is someone who, long before he entered politics, worked as a teacher."
S028,6,16,"When Coach Walz and his wife, Gwen, moved from his native Nebraska to Minnesota nearly 30 years ago, they both took jobs at the local high school coach."
S028,6,17,"Walz taught social studies, Gwen taught English."
S028,7,0,"After school, Tim was the linebacker’s coach for the football team, where I’ve heard the stories about he had a lnack for using the game of football to teach life lessons."
S028,7,1,He saw the potential in kids who sometimes didn’t even see it in themselves.
S028,7,2,"Under those Friday night lights, Coach Walz motivated his players to believe they could achieve anything and together, they defied the odds… Hear this out, going from a winless record to the school’s first ever state championship."
S028,8,0,"Good evening, Philadelphia!"
S028,8,1,Good evening.
S028,8,2,Good evening.
S028,8,3,Good evening.
S028,8,4,"Good evening, everyone."
S028,8,5,Good evening.
S028,8,6,Good evening.
S028,8,7,"Ooh, it’s good to be back in Pennsylvania."
S028,8,8,"Let me say on behalf of myself and the first second gentleman of the United States, my husband, Doug Emhoff, thank you for the warm welcome."
S028,9,0,"And as I think everyone here can see, Tim Walz was the kind of teacher and mentor that every child in America dreams of having and that every kid deserves."
S028,9,1,"The kind of coach, because he’s the kind of person, who makes people feel like they belong and then inspires them to dream big."
S028,9,2,And that’s the kind of Vice President he will be.
S028,9,3,And that’s the kind of Vice President America deserves.
S028,10,0,So it was Coach Walz’s students who actually helped him decide to run for office.
S028,10,1,And he served 12 years in Congress representing a purple district as he reached across the aisle to get things done.
S028,10,2,"He was the highest ranking enlisted man to ever serve in the United States Congress, and the top Democrat on the Veterans Committee, and he was known as one of Capitol Hill’s best marksman, winning a bipartisan sharp shooting contest year after year."
S028,11,0,"In Washington, Tim worked to raise the minimum §wage, to protect the freedom of workers to join a union, and he cast one of the critical votes to pass the Affordable Care Act, which of course gave health insurance to tens of millions of Americans."
S028,11,1,"I’m going to tell you, when we win, Tim and I will continue to make the Affordable Care Act even stronger."
S028,11,2,We will.
S028,12,0,Now let’s talk about what we’re dealing with on the other side.
S028,12,1,"So on that last topic, if Donald Trump gets the chance, he will end the Affordable Care Act and take us back to a time when insurance companies have the power to deny people with pre-existing conditions."
S028,12,2,You remember what that was like?
S028,12,3,"Children with asthma, breast cancer survivors, grandparents with diabetes."
S028,12,4,"Well, Governor Walz and I will not let that happen because we believe healthcare should be a right and not just a privilege for those who can afford it."
S028,12,5,"As governor, Tim has continued to fight for working families."
S028,12,6,"He secured paid leave for workers in Minnesota and he refused as governor to allow any student in their public schools to go hungry, so he made school breakfast and lunch free for every child."
S028,12,7,"And Tim Walz and I, we agree about many things including when our middle class is strong, America is strong."
S028,12,8,And strengthening in the middle class will be my defining goal as I am President of the United States.
S028,13,0,"So Pennsylvania, ours is a fight for the future of the middle class, and it is a fight for freedom."
S028,13,1,"In this moment, we are witnessing a full-on attack against hard fought, hard won freedoms and rights."
S028,13,2,Take reproductive freedom.
S028,13,3,"Now think about this, Donald Trump said he wants to punish women."
S028,13,4,"And as a result of his actions today in America, one out of three women live in a state with a Trump abortion ban, one out of three."
S028,13,5,"Some of these bans go back to the 1800s, even before women had a right to vote."
S028,13,6,Think about that.
S028,14,0,"Well, Tim and I have a message for Trump and others who want to turn back the clock on our fundamental freedoms: we’re not going back."
S028,14,1,We’re not going back.
S028,14,2,We’re not going back.
S028,14,3,We’re not going back.
S028,14,4,We’re not going back.
S028,14,5,We’re not going back.
S028,14,6,"And so let me say, about Tim Walz, he has shown up to stand against these attacks long before he stood on the stage with me."
