line_id,line_text,speech_id
0,"Good afternoon. Oh, it’s good to be back. Good afternoon everybody. Can we hear it for Tim Walz? Oh, I’m so happy to be running with him, let me tell you.",S044
1,"So let me start by thanking Les, your words, your leadership, your voice it’s so important. Les, thank you for everything you are and everything you do for our country. And it is good to be with so many incredible leaders, including the most magnificent, wonderful governor, Tony Evers. Every time I come to Wisconsin, Tony meets me on the tarmac. He’s such an incredible human being. I want to thank Secretary of State Sarah Godlewski. Chair of the Wisconsin Democratic Party, Ben Wickler. And my dear, dear friend, Senator Tammy Baldwin.",S044
2,"I served with Tammy when I was in the United States Senate and I’ma tell you, she was always, always fighting for the people of this state. And in November we are going to re-elect her to the United States Senate. And please, give it up one more time for Wisconsin’s own Bon Iver. It’s a good afternoon. It’s a good afternoon.",S044
3,"And let me say, I also want to bring greetings from our incredible president, Joe Biden. He loves Wisconsin, he loves Wisconsin. And I know we are all deeply grateful for his lifetime of service to our nation and for all he continues to do. That’s right.",S044
4,"So Wisconsin, this has been a big week.",S044
5,"So listen, let me tell you, I am clear, the path to the White House runs right through this state. And with your help, we will win in November. We are going to win. We are going to win. And I’ve been here many times, as you all know, recently and even before. And many of you know then, before I was elected vice president, before I was elected United States senator, I was an elected attorney general. And before that, an elected district attorney. And before that and before that I was a courtroom prosecutor.",S044
6,"So in those roles, I took on perpetrators of all kinds. Predators, who abused women. Fraudsters, who ripped off consumers. Scammers, who broke the rules for personal gain. So hear me when I say, I know Donald Trump’s type. I know it’s type. In fact, I’ve been dealing with people like him my whole career. For example, as Attorney General of California… Well hold on, you know what? The courts are going to handle that part of it. What we’re going to do is beat them in November.",S044
7,"So I’ll tell you, as Attorney General, I took on one of our country’s largest for-profit colleges that scammed students. Well, Donald Trump ran a for-profit college that scammed students.",S044
8,"As a prosecutor, I specialized in cases of sexual abuse. Well, Donald Trump was found liable for committing sexual abuse.",S044
9,"As Attorney General, I held the big Wall Street banks accountable for fraud. Well, Donald Trump was just found guilty of fraud, 34 counts.",S044
10,"So in this campaign, I’ll tell you, I will proudly put my record against his any day of the week. Any day of the week.",S044
11,"But let’s make no mistake, this campaign is not just about us versus Donald Trump. It’s about two very different visions for our nation. Two very different visions. One, for us, focused on the future. The other, focused on the past. And Wisconsin, we here, we fight for the future. We fight for a future where every worker has the freedom to join a union.",S044
12,Union strong.,S044
