line_id,line_text,speech_id
0,"As we know this, recovery will take time and we will stand with Georgia, and everyone across the southeast who are impacted by these recent storms for as long as it takes to rebuild. Thank you. All right, so Atlanta, we have 17 days left. 17 days left in one of the most consequential elections of our lifetime. And look, let’s have some real talk. It’s going to be a tight race until the very end. And we are the underdog and we are running as the underdog. But make no mistake, we will win. We will win. Yes, we will. We will win. Yes, we will,",S034
1,"But none of that is what we hear from Donald Trump. Instead, it is just the same old, tired playbook over and over again. He has no plan for how he would address the needs of the American people. He is only focused on himself. And now, he’s ducking debates and canceling interviews because of exhaustion. And when he does answer a question or speak at a rally, have you noticed he tends to go off script and ramble, and generally for the life of him, cannot finish a thought. And he has called it the weave, but I think we here will call it nonsense.",S034
2,"So folks, for these reasons and more, it is time to turn the page. It’s time to turn the page. And America is ready to chart a new way forward. We are ready. We are ready for a new and optimistic generation of leadership. All of you. Which is why Democrats, Republicans, and Independents are supporting our campaign. In fact, earlier this week, over 100 Republican leaders from across the country joined me on the campaign trail, including some who worked in Donald Trump’s administration. And I believe as I travel our country, Americans really want a President who works for all the American people, all the American people, who understands that the vast majority of us have so much more in common than what separates us, right? Folks are exhausted with someone trying to have Americans point their fingers at each other. We’re exhausted with it. That’s why I say it’s time to turn the page on that, let’s turn the page, and have a President who cares about all the people.",S034
3,"And you all know I’ve only ever in my career had one client, the people, the people. As a young courtroom prosecutor, I stood up for women and children. As Attorney general of California, I fought for students and veterans. As Vice President, I have stood up for workers and seniors. And as President, I will fight for all the American people. And together we will build a brighter future for our nation, together we will build a brighter future that includes what I call an opportunity economy. So that every American has the opportunity to own a home, to build wealth, to start a business. And to build that opportunity economy, we’ve got to bring down the cost of living, because while inflation is down and wages are up, prices are still too high. You know it and I know it. And so, I have laid out a comprehensive plan to lower the cost that you pay on everything from prescription medication to groceries. And this will be my focus every single day as President of the United States.",S034
4,"I will take on corporate price gouging. I’ve done it before and I’ll do it again. I will give a middle class tax cut to a hundred million Americans, including $6,000 during the first year of a child’s life. And I’m going to tell you why. Because we all know, young parents have a natural desire to parent their children well, but not always the resources to do it. And we as a community need to understand they are the children of the community. And it is in our collective best interest to make sure that they have the resources they need during that critical phase of a child’s development, to buy a crib, to buy a car seat, to buy what that child needs during that critical stage of life. That’s the kind of leadership that we believe in in America.",S034
5,"I have a plan to bring down the cost of housing, by building more homes and taking on those corporate landlords who are unfairly buying up properties and increasing rental prices. We know what’s happening. My plan will lower the cost of starting a small business, including by increasing the tax deduction for entrepreneurs from $5,000 to $50,000, knowing that our small business owners are civic leaders as much as they are business leaders. They mentor, they hire locally, they are part of the cultural fabric of our communities and deserve to be lifted up in every way. Under my opportunity economy, I have a plan to lower health costs and healthcare costs for people as they age, so they can grow old with dignity, and so their families are not financially crushed by the cost of home care. Because look, let me tell you, you all may know this, it’s a personal story.",S034
6,"I helped take care of my mother when she was sick. I took care of my mother when she was sick. And for any of you who is taking care of an elder relative, you know that’s about love and it’s about care. It’s about trying to cook something for them that they feel like eating. It’s about trying to help them put on clothes that won’t irritate their skin, help them put on a sweater. It’s about from time to time trying to think of something that will put a smile on their face or make them laugh. It’s about dignity. It’s about dignity. But what we know is that right now we have so many people who are doing that and raising small children at the same time. We call it the sandwich generation. And unless you got a lot of money to be able to hire somebody to help, then folks are looking at the potential of having to leave their job, which is losing a source of income or worse, even having to spend down whatever might be their savings to be able to qualify for Medicaid.",S034
7,"That’s not right. That’s not right. So my plan includes allowing Medicare to cover the cost of home healthcare for our seniors. It’s a matter of dignity. Dignity. And so, I share some of these details with you to just let you know what you are already know. I will always put the middle class and working families first. I always will. I come from the middle class and I will never forget where I come from. I will never forget where I come from. Now, Donald Trump, you know here I go. Now, Donald Trump, well, he has a different plan. Just Google Project 2025. Now, I say it every time, but I just have to say again, can you believe they put that thing in writing? They put it in writing, they published it, they bound it and handed it out. And when you read it, you know it is a detailed",S034
8,"We got the old school. And we will win. And we will win because we understand what is at stake. This election is about two very different visions for our nation. One, Donald Trump’s, who is focused on the past, and ours that is focused on the future. Ours that is focused on bringing down the cost of living, investing in small businesses and entrepreneurs. By the way, I love our small businesses. Can I see the small business leaders and entrepreneurs? I’m telling you, our small businesses are the backbone of America’s economy, I thank you all. And we are here because we are committed to protecting reproductive freedom.",S034
9,"Oh, y’all watched the debate? I see you. He has, quote, “Concepts of a plan.” So you all know, and you’ve heard me say, look, I think, and I do believe Donald Trump is an unserious man and the consequences of him ever being again in the White House are brutally serious. Brutally serious. Because think about it, the man’s going to threaten the health insurance of 45 million Americans based on a concept and take us back to when insurance companies had the power to deny people with pre-existing conditions. You remember what that was? Well, we are not going back. We are not going back. We are not going back. We’re not going back. We’re not going back. We’re not going back.",S034
10,"And we know how we got here. Donald Trump hand-selected three members of the United States Supreme Court with the intention that they would undo the protections of Roe V. Wade. And they did as he intended. And now in America, more than one in three women lives in a state with a Trump abortion ban. Today, except for Virginia, every state in the south, including Georgia, has a Trump ban, many with no exceptions, even for rape or incest, which is telling a survivor of a violation to their body they have no right to make a decision about what happens to their body next. That’s immoral. That’s immoral.",S034
11,"And let us agree, one does not have to abandon their faith or deeply held beliefs to agree the government should not be telling her what to do. Not the government. If she chooses, she will talk with her priest, her pastor, her Rabbi, Imam, but not the government telling her what to do.",S034
12,"So look, we all know this is a healthcare crisis. This is not something theoretical. This is not just about a political conversation. It’s very real. And Donald Trump is the architect. Women are being denied care during miscarriages. Some only being treated once they develop sepsis. And tragically, because of these bans, some women have even died. Let me show you what I’m talking about. Roll the clip.",S034
13,"So here’s the thing that you got to understand, and I think everyone’s following this. Donald Trump still refuses to take accountability, to take any accountability for the pain and the suffering he has caused or even to just acknowledge the pain and suffering that has actually happened. In a Fox town hall earlier this week, he even mocked Amber’s family for sharing their story.",S034
14,Play the clip.,S034
15,"But here’s the thing. Here’s the thing. Here’s the thing. A grieving family, a grieving family sharing the memory of their daughter with our nation. Where is the compassion? Part of what’s wrong with what’s been happening in this so-called Trump era, is that there’s this backward notion that somehow the measure of the strength of a leader is based on who you beat down instead of what we know, which is that the real measure of the strength of a leader is based on who you lift up. It’s based on who you lift up. And what we see continually from Donald Trump is exactly what that clip shows. He belittles their sorrow, making it about himself and his television ratings. It is cruel.",S034
16,"And listen, I promised Amber’s mother that we will always remember her story and speak her name, Amber Nicole Thurman, Amber Nicole Thurman. And Amber’s family, including her parents, Shanette and Andre are here with us tonight. And in front of all the friends here, I thank them both for their courage and their strength. And it is my pledge to the family… And I have pledged to the family, it is my pledge to everybody here, when Congress passes a bill to restore reproductive freedom nationwide, as President of the United States, I will proudly sign it into law. I will proudly sign it into law. So there’s so much at stake. And I’m traveling the country and everybody here knows across our nation we are witnessing a full-on assault on other hard-fought, hard-won fundamental freedoms and rights. Like right here in Georgia, the freedom to vote. The freedom we are seeing in so many places in our country, an attack on the freedom to be safe from gun violence, the freedom to love who you love openly and with pride. So, so much is on the line in this election. And this election is not 2016 or 2020.",S034
17,"The stakes are even higher for obvious reasons, including because just a few months ago, the United States Supreme Court basically told the former president, he is effectively immune no matter what he does in the White House. And just think about this. So before that ruling just a few months ago at least there was some possibility of threat of consequence for misbehavior, for breaking the law. But just imagine now Donald Trump with no guardrails. He who has vowed that he will be a dictator on day one; he who calls Americans who disagree with him the enemy from within, understand where that comes from in history and says he would use the American military to go after American citizens; he who has called for the termination, I quote, “Of the Constitution of the United States of America.” And let us be very clear: Someone who suggests that we should terminate the Constitution of the United States should never again stand behind the seal of the President of the United States of America. Never again. Never again. Never again. So Georgia, it comes down to this. We are all here together because we know what is at stake. We are all here together because we love our country. We love our country. And I do believe it is one of the highest forms of patriotism to then fight for the ideals of our country. That’s what this is about. This is about a fight for the promise of America.",S034
